file_name, test_role_F1, test_role_P, test_role_R, test_trigger_F1, test_trigger_P, test_trigger_R,
fslr_fine_--no_module_len5_shot15_rams_2021-11-03-17-56, 9.8027, 9.3929, 10.25, 33.2005, 32.6371, 33.7838, 
fslr_fine_--no_module_len5_shot1_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_fine_--no_module_len5_shot2_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_fine_--no_module_len5_shot5_rams_2021-11-03-17-56, 1.0417, 1.7964, 0.7335, 3.4956, 3.2483, 3.7838, 
fslr_fine__len5_shot10_rams_2021-11-05-02-14, 14.9339, 14.1612, 15.7959, 41.1141, 40.3646, 41.8919, 
fslr_fine__len5_shot15_rams_2021-11-05-02-14, 16.6268, 15.9404, 17.375, 46.3807, 46.0106, 46.7568, 
fslr_fine__len5_shot1_rams_2021-11-05-02-14, 0.3842, 0.8811, 0.2457, 1.6216, 1.6216, 1.6216, 
fslr_fine__len5_shot2_rams_2021-11-05-02-14, 2.5957, 2.6991, 2.5, 7.7016, 6.9414, 8.6486, 
fslr_fine__len5_shot5_rams_2021-11-05-02-14, 7.4286, 6.9742, 7.9462, 17.0, 15.814, 18.3784, 
fslr_prefix_--is_knowledge_len5_shot10_rams_2021-11-05-02-14, 1.2183, 3.7037, 0.729, 7.7121, 7.3529, 8.1081, 
fslr_prefix_--is_knowledge_len5_shot15_rams_2021-11-05-02-14, 4.8077, 5.3354, 4.375, 15.5779, 14.554, 16.7568, 
fslr_prefix_--is_knowledge_len5_shot1_rams_2021-11-05-02-08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--is_knowledge_len5_shot1_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--is_knowledge_len5_shot2_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--is_knowledge_len5_shot5_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--no_module_len5_shot10_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--no_module_len5_shot15_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--no_module_len5_shot1_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--no_module_len5_shot2_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix_--no_module_len5_shot5_rams_2021-11-03-17-56, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix__len5_shot10_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.3268, 0.4132, 0.2703, 
fslr_prefix__len5_shot15_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.312, 0.369, 0.2703, 
fslr_prefix__len5_shot1_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslr_prefix__len5_shot2_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.6173, 0.7194, 0.5405, 
fslr_prefix__len5_shot5_rams_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_adapter__len5_shot10_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_adapter__len5_shot15_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_adapter__len5_shot1_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_adapter__len5_shot2_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_adapter__len5_shot5_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot10_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.9132, 3.0612, 0.5367, 
fslw_both_--is_knowledge_len5_shot10_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.9132, 3.0612, 0.5367, 
fslw_both_--is_knowledge_len5_shot15_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 2.445, 3.7736, 1.8083, 
fslw_both_--is_knowledge_len5_shot15_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 2.445, 3.7736, 1.8083, 
fslw_both_--is_knowledge_len5_shot1_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot1_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot2_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot2_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot5_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_--is_knowledge_len5_shot5_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both__len5_shot10_wikievents_2021-11-05-02-14, 0.3017, 20.0, 0.152, 0.3431, 4.1667, 0.1789, 
fslw_both__len5_shot15_wikievents_2021-11-05-02-14, 0.5865, 5.7143, 0.3091, 1.3699, 12.9032, 0.7233, 
fslw_both__len5_shot1_wikievents_2021-11-05-02-14, 0.3799, 0.5495, 0.2903, 4.7919, 9.6447, 3.1879, 
fslw_both__len5_shot2_wikievents_2021-11-05-02-14, 0.8351, 1.5504, 0.5714, 4.2745, 6.5292, 3.1773, 
fslw_both__len5_shot5_wikievents_2021-11-05-02-14, 2.1413, 3.7736, 1.4948, 5.9737, 9.1912, 4.4248, 
fslw_both_adapter__len5_shot10_wikievents_2021-11-05-02-14, 0.5797, 6.25, 0.304, 1.7123, 20.0, 0.8945, 
fslw_both_adapter__len5_shot15_wikievents_2021-11-05-02-14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
fslw_both_adapter__len5_shot1_wikievents_2021-11-05-02-14, 0.6659, 1.4151, 0.4354, 3.8199, 10.219, 2.349, 
fslw_both_adapter__len5_shot2_wikievents_2021-11-05-02-14, 0.5195, 2.8571, 0.2857, 2.0802, 9.3333, 1.1706, 
fslw_both_adapter__len5_shot5_wikievents_2021-11-05-02-14, 0.5602, 4.4444, 0.299, 0.9217, 3.4884, 0.531, 
fslw_fine_--is_knowledge_len5_shot10_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 1.9204, 4.1176, 1.2522, 
fslw_fine_--is_knowledge_len5_shot15_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 3.6269, 6.3927, 2.5316, 
fslw_fine_--is_knowledge_len5_shot1_wikievents_2021-11-04-08-59, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
